cutoff,variant,scope,bias_qty_delta,abs_bias_delta,underforecast_qty_delta,overforecast_qty_delta
2026-06-21,conservative_reconstructed_target,all_days_observed_sales,839.4991425668015,839.4991425668015,-267.6365165558327,571.8626260109686
2026-06-21,conservative_reconstructed_target,clean_days_observed_sales,-2.2387894683563445,-2.2387894683563445,7.739068483689891,5.500279015333604
2026-06-21,conservative_reconstructed_target,stockout_days_observed_lower_bound,841.7379320351583,841.7379320351583,-275.3755850395223,566.3623469956356
2026-06-21,conservative_reconstructed_target,stockout_days_conservative_point,841.737932035158,-841.737932035158,-353.2899047316987,488.44802730345964
2026-06-21,conservative_reconstructed_target,stockout_days_full_point,841.7379320351581,-841.7379320351581,-393.7080911775274,448.02984085763
2026-06-21,weighted_reconstructed_target,all_days_observed_sales,733.4350143896497,733.4350143896497,-224.7803605272711,508.65465386237884
2026-06-21,weighted_reconstructed_target,clean_days_observed_sales,42.32906775885493,42.32906775885493,-39.98403881031987,2.3450289485350595
2026-06-21,weighted_reconstructed_target,stockout_days_observed_lower_bound,691.1059466307947,691.1059466307947,-184.79632171695084,506.30962491384344
2026-06-21,weighted_reconstructed_target,stockout_days_conservative_point,691.1059466307945,-691.1059466307945,-259.76512243047,431.3408242003243
2026-06-21,weighted_reconstructed_target,stockout_days_full_point,691.1059466307945,-691.1059466307945,-287.8398110917997,403.2661355389955
2026-06-28,conservative_reconstructed_target,all_days_observed_sales,665.7646738169069,-665.7646738169069,-380.6316270592497,285.1330467576572
2026-06-28,conservative_reconstructed_target,clean_days_observed_sales,82.112236321394,-82.112236321394,-62.389492477359454,19.72274384403454
2026-06-28,conservative_reconstructed_target,stockout_days_observed_lower_bound,583.6524374955127,-583.6524374955127,-318.24213458188933,265.4103029136236
2026-06-28,conservative_reconstructed_target,stockout_days_conservative_point,583.6524374955125,-583.6524374955125,-380.5932431165111,203.05919437900138
2026-06-28,conservative_reconstructed_target,stockout_days_full_point,583.6524374955125,-583.6524374955125,-407.2037251932006,176.44871230231183
2026-06-28,weighted_reconstructed_target,all_days_observed_sales,1144.4482160367252,-1144.4482160367252,-691.0495624889681,453.398653547757
2026-06-28,weighted_reconstructed_target,clean_days_observed_sales,201.37047671296227,-201.37047671296227,-116.55894554112797,84.8115311718343
2026-06-28,weighted_reconstructed_target,stockout_days_observed_lower_bound,943.0777393237627,-943.0777393237627,-574.49061694784,368.5871223759232
2026-06-28,weighted_reconstructed_target,stockout_days_conservative_point,943.0777393237631,-943.0777393237631,-631.2456986985235,311.8320406252392
2026-06-28,weighted_reconstructed_target,stockout_days_full_point,943.0777393237631,-943.0777393237631,-664.3409932205941,278.7367461031681
2026-07-05,conservative_reconstructed_target,all_days_observed_sales,826.6664126812443,-826.6664126812443,-658.6403325259889,168.02608015525448
2026-07-05,conservative_reconstructed_target,clean_days_observed_sales,62.644266121595706,-62.644266121595706,-108.80220030192231,-46.157934180326606
2026-07-05,conservative_reconstructed_target,stockout_days_observed_lower_bound,764.0221465596485,-764.0221465596485,-549.8381322240657,214.18401433558165
2026-07-05,conservative_reconstructed_target,stockout_days_conservative_point,764.0221465596483,-764.0221465596483,-651.1210632643251,112.90108329532495
2026-07-05,conservative_reconstructed_target,stockout_days_full_point,764.0221465596478,-764.0221465596478,-666.1811176130923,97.84102894655553
2026-07-05,weighted_reconstructed_target,all_days_observed_sales,393.0351497274769,-393.0351497274769,-371.19389437176324,21.841255355713656
2026-07-05,weighted_reconstructed_target,clean_days_observed_sales,57.87517482529097,-57.87517482529097,-69.87986637708354,-12.00469155179286
2026-07-05,weighted_reconstructed_target,stockout_days_observed_lower_bound,335.15997490218615,-335.15997490218615,-301.31402799467924,33.84594690750646
2026-07-05,weighted_reconstructed_target,stockout_days_conservative_point,335.15997490218615,-335.15997490218615,-335.7953649754254,-0.6353900732378861
2026-07-05,weighted_reconstructed_target,stockout_days_full_point,335.15997490218524,-335.15997490218524,-337.00250253412014,-1.842527631935809
