variant,scope,rows,target_qty,predicted_qty,bias_qty,mean_bias,mae,underforecast_qty,overforecast_qty,cutoff
conservative_reconstructed_target,all_days_observed_sales,154,177837.123,179989.64876859804,2152.5257685980287,13.977440055831355,70.44749108044262,4348.193928895067,6500.719697493096,2026-06-21
conservative_reconstructed_target,clean_days_observed_sales,19,21212.484,21634.951684473086,422.46768447308824,22.235141288057275,56.80005154034846,328.3666473967663,750.8343318698546,2026-06-21
conservative_reconstructed_target,stockout_days_observed_lower_bound,135,156624.63900000002,158354.69708412493,1730.0580841249407,12.815245067592153,72.36824183052997,4019.8272814983015,5749.885365623242,2026-06-21
conservative_reconstructed_target,stockout_days_conservative_point,135,158469.80037431722,158354.69708412493,-115.10329019227163,-0.8526169643871973,73.96780156537537,5050.378250758973,4935.274960566701,2026-06-21
conservative_reconstructed_target,stockout_days_full_point,135,159075.56826092757,158354.69708412493,-720.8711768026044,-5.339786494834106,74.93414500211489,5418.4903760440575,4697.619199241452,2026-06-21
observed_sales_target,all_days_observed_sales,154,177837.123,179150.14962603123,1313.0266260312271,8.526146922280695,68.47199686320147,4615.8304454509,5928.857071482127,2026-06-21
observed_sales_target,clean_days_observed_sales,19,21212.484,21637.190473941442,424.7064739414446,22.35297231270761,56.10324377724197,320.62757891307643,745.334052854521,2026-06-21
observed_sales_target,stockout_days_observed_lower_bound,135,156624.63900000002,157512.95915208978,888.3201520897824,6.580149274739129,70.21278433455873,4295.202866537824,5183.523018627607,2026-06-21
observed_sales_target,stockout_days_conservative_point,135,158469.80037431722,157512.95915208978,-956.8412222274296,-7.08771275724022,72.96663028706604,5403.668155490672,4446.826933263242,2026-06-21
observed_sales_target,stockout_days_full_point,135,159075.56826092757,157512.95915208978,-1562.6091088377625,-11.57488228768713,74.53176167115116,5812.198467221585,4249.589358383822,2026-06-21
weighted_reconstructed_target,all_days_observed_sales,154,177837.123,179883.5846404209,2046.4616404208768,13.288711950784915,70.31533643031256,4391.050084923629,6437.511725344506,2026-06-21
weighted_reconstructed_target,clean_days_observed_sales,19,21212.484,21679.5195417003,467.0355417002995,24.58081798422629,54.12224325820066,280.64354010275656,747.6790818030561,2026-06-21
weighted_reconstructed_target,stockout_days_observed_lower_bound,135,156624.63900000002,158204.0650987206,1579.426098720577,11.699452583115386,72.59436435823942,4110.406544820873,5689.83264354145,2026-06-21
weighted_reconstructed_target,stockout_days_conservative_point,135,158469.80037431722,158204.0650987206,-265.73527559663506,-1.9684094488639634,74.23756141128716,5143.903033060202,4878.167757463566,2026-06-21
weighted_reconstructed_target,stockout_days_full_point,135,159075.56826092757,158204.0650987206,-871.503162206968,-6.455578979310874,75.38677148187114,5524.358656129785,4652.855493922818,2026-06-21
conservative_reconstructed_target,all_days_observed_sales,154,173778.325,171971.80793102243,-1806.5170689775669,-11.730630318036148,63.23633005974233,5772.455949088942,3965.9388801113755,2026-06-28
conservative_reconstructed_target,clean_days_observed_sales,19,21677.757000000005,20993.359780341216,-684.3972196587872,-36.020906297830905,61.429207607676375,925.7760821023192,241.378862443532,2026-06-28
conservative_reconstructed_target,stockout_days_observed_lower_bound,135,152100.568,150978.44815068122,-1122.1198493187796,-8.311998883842811,63.490665812255315,4846.679866986624,3724.560017667844,2026-06-28
conservative_reconstructed_target,stockout_days_conservative_point,135,153777.6077329385,150978.44815068122,-2799.1595822572745,-20.73451542412796,65.77790228239805,5839.588195190507,3040.428612933232,2026-06-28
conservative_reconstructed_target,stockout_days_full_point,135,154329.7688236984,150978.44815068122,-3351.320673017163,-24.82459757790491,67.17260196945423,6209.810969446743,2858.4902964295807,2026-06-28
observed_sales_target,all_days_observed_sales,154,173778.325,171306.0432572055,-2472.2817427944738,-16.053777550613464,63.856450711051366,6153.087576148192,3680.8058333537183,2026-06-28
observed_sales_target,clean_days_observed_sales,19,21677.757000000005,20911.247544019814,-766.5094559801812,-40.34260294632533,63.674825956798735,988.1655745796786,221.65611859949746,2026-06-28
observed_sales_target,stockout_days_observed_lower_bound,135,152100.568,150394.79571318568,-1705.7722868142923,-12.635350272698462,63.88201271350174,5164.922001568513,3459.1497147542204,2026-06-28
observed_sales_target,stockout_days_conservative_point,135,153777.6077329385,150394.79571318568,-3382.812019752787,-25.057866812983608,67.09296931008332,6220.181438307018,2837.369418554231,2026-06-28
observed_sales_target,stockout_days_full_point,135,154329.7688236984,150394.79571318568,-3934.9731105126752,-29.14794896676056,68.88189836123861,6617.014694639944,2682.041584127269,2026-06-28
weighted_reconstructed_target,all_days_observed_sales,154,173778.325,172450.49147324223,-1327.8335267577486,-8.622295628297069,62.3132629906539,5462.038013659224,4134.204486901475,2026-06-28
weighted_reconstructed_target,clean_days_observed_sales,19,21677.757000000005,21112.61802073278,-565.1389792672189,-29.744156803537837,62.00390941104643,871.6066290385506,306.46764977133176,2026-06-28
weighted_reconstructed_target,stockout_days_observed_lower_bound,135,152100.568,151337.87345250946,-762.6945474905297,-5.64958924067059,62.35680164259865,4590.431384620673,3827.7368371301436,2026-06-28
weighted_reconstructed_target,stockout_days_conservative_point,135,153777.6077329385,151337.87345250946,-2439.734280429024,-18.07210578095573,64.72694221324419,5588.935739608494,3149.20145917947,2026-06-28
weighted_reconstructed_target,stockout_days_full_point,135,154329.7688236984,151337.87345250946,-2991.895371188912,-22.162187934732682,66.02557060481323,5952.6737014193495,2960.778330230437,2026-06-28
conservative_reconstructed_target,all_days_observed_sales,154,173850.86,170925.75283475168,-2925.1071652483233,-18.99420237174236,63.40975026481408,6345.104353014845,3419.9971877665216,2026-07-05
conservative_reconstructed_target,clean_days_observed_sales,23,24931.366,23911.454164477713,-1019.9118355222905,-44.34399284879524,70.31448944650431,1318.5725463959448,298.6607108736543,2026-07-05
conservative_reconstructed_target,stockout_days_observed_lower_bound,131,148919.494,147014.29867027397,-1905.1953297260327,-14.543475799435365,62.19746781306693,5026.531806618901,3121.3364768928677,2026-07-05
conservative_reconstructed_target,stockout_days_conservative_point,131,150750.15994673932,147014.29867027397,-3735.8612764653676,-28.518025011186012,64.77870308176547,6110.935690088321,2375.0744136229546,2026-07-05
conservative_reconstructed_target,stockout_days_full_point,131,151411.3530344796,147014.29867027397,-4397.054364205653,-33.56530049011948,67.15086955685022,6596.909138076515,2199.8547738708626,2026-07-05
observed_sales_target,all_days_observed_sales,154,173850.86,170099.08642207045,-3751.7735779295676,-24.362166090451737,66.59555709839027,7003.744685540834,3251.971107611267,2026-07-05
observed_sales_target,clean_days_observed_sales,23,24931.366,23848.809898356114,-1082.5561016438862,-47.06765659321245,77.05188659790642,1427.374746697867,344.8186450539809,2026-07-05
observed_sales_target,stockout_days_observed_lower_bound,131,148919.494,146250.2765237143,-2669.217476285681,-20.375705925844894,64.75971298778819,5576.369938842967,2907.152462557286,2026-07-05
observed_sales_target,stockout_days_conservative_point,131,150750.15994673932,146250.2765237143,-4499.883423025016,-34.35025513759554,68.88725254717767,6762.056753352646,2262.1733303276296,2026-07-05
observed_sales_target,stockout_days_full_point,131,151411.3530344796,146250.2765237143,-5161.076510765301,-39.39753061652901,71.48934351613676,7263.090255689607,2102.013744924307,2026-07-05
weighted_reconstructed_target,all_days_observed_sales,154,173850.86,170492.12157179794,-3358.7384282020907,-21.80998979352007,64.3270334684159,6632.550791169071,3273.812362966981,2026-07-05
weighted_reconstructed_target,clean_days_observed_sales,23,24931.366,23906.685073181397,-1024.6809268185953,-44.55134464428675,73.4916884270857,1357.4948803207835,332.81395350218804,2026-07-05
weighted_reconstructed_target,stockout_days_observed_lower_bound,131,148919.494,146585.4364986165,-2334.057501383495,-17.817232834988513,62.71797191078686,5275.055910848288,2940.9984094647925,2026-07-05
weighted_reconstructed_target,stockout_days_conservative_point,131,150750.15994673932,146585.4364986165,-4164.72344812283,-31.791782046739158,66.31907884451613,6426.261388377221,2261.5379402543917,2026-07-05
weighted_reconstructed_target,stockout_days_full_point,131,151411.3530344796,146585.4364986165,-4825.916535863115,-36.83905752567264,68.90274023242638,6926.087753155487,2100.1712172923712,2026-07-05
