variant,mae,wmape,bias,r2,weak_mae,weak_wmape,weak_r2,strong_mae,strong_wmape,strong_r2,train_rows,train_weak_rows,train_weak_share,test_rows,test_weak_rows,test_weak_share,train_time_s
downweight_weak_050,2.925530678304275,27.903033538361065,0.7877626123781744,0.8852374389638342,2.5550898573666863,32.790738136126826,0.8244124425853727,3.200268082000171,25.6400021186035,0.8986204594861362,2231972,797670,0.3573835155638153,424562,180792,0.42583179841813446,1538.0
downweight_weak_025,2.926746826869083,27.914632881496694,0.7862740120149294,0.885197154529704,2.556846311143257,32.81327958047943,0.8242706747125625,3.2010835132501123,25.646535214719307,0.8986066555056601,2231972,797670,0.3573835155638153,424562,180792,0.42583179841813446,1522.2
baseline_all,2.9275085693450746,27.921898204678165,0.7854196465226628,0.88491829282384,2.5525574008804006,32.7582378632916,0.824698534043614,3.205591071905132,25.682649005971513,0.8981280258968334,2231972,797670,0.3573835155638153,424562,180792,0.42583179841813446,302.5
smooth_weak_roll7,2.929194783746022,27.937980926808347,0.6914973839892877,0.8857256249069958,2.535706731905392,32.541984852782015,0.8292498699638831,3.2210251643029864,25.80630432222626,0.897939779890233,2231972,797670,0.3573835155638153,424562,180792,0.42583179841813446,339.9
exclude_weak,2.931831913249772,27.96313325678863,0.7623002939129913,0.8849911922345878,2.563569586792531,32.899562718662125,0.8240568174101893,3.204953636697519,25.677541983792462,0.898397183818392,1434302,0,0.0,424562,180792,0.42583179841813446,206.0
global66_weak_only,3.1822552619175406,30.35161311395958,1.0495014446950948,0.8393666794359855,2.623767094638076,33.672107257759095,0.8108499350398053,3.5964579642139225,28.81420789107144,0.8427076605564551,90646,90646,1.0,424562,180792,0.42583179841813446,32.2
