scenario,correction,strength,baseline_shortfall_qty,adjusted_shortfall_qty,underforecast_cases_removed,new_underforecast_cases,normal_bias_before,normal_bias_after,normal_mae_before,normal_mae_after,max_bakery_total_delta,net_cases_improved
model_log_ratio_strength_0.25,model_log_ratio,0.25,1530.2903083330193,1553.065018405142,2,5,2.8099619818165866,2.806304665714308,4.680591096640825,4.696196840868795,1.1368683772161603e-13,-3
model_log_ratio_strength_0.50,model_log_ratio,0.5,1530.2903083330193,1590.047871136816,6,19,2.8099619818165866,2.802461364197982,4.680591096640825,4.752277729266174,1.1368683772161603e-13,-13
model_log_ratio_strength_0.75,model_log_ratio,0.75,1530.2903083330193,1634.0137593371333,8,27,2.8099619818165866,2.7984964416451468,4.680591096640825,4.824261374596804,1.1368683772161603e-13,-19
model_log_ratio_strength_1.00,model_log_ratio,1.0,1530.2903083330193,1682.5926588881634,14,41,2.8099619818165866,2.7945261280964364,4.680591096640825,4.903455771274919,1.1368683772161603e-13,-27
pair_log_ratio_strength_0.25,pair_log_ratio,0.25,1530.2903083330193,1730.3509432846788,25,98,2.8099619818165866,2.8027277675715117,4.680591096640825,4.761913987896982,1.1368683772161603e-13,-73
pair_log_ratio_strength_1.00,pair_log_ratio,1.0,1530.2903083330193,2183.3839120020966,27,130,2.8099619818165866,2.8154346490128836,4.680591096640825,5.4015703825763035,1.1368683772161603e-13,-103
pair_log_ratio_strength_0.50,pair_log_ratio,0.5,1530.2903083330193,2129.430060767899,41,192,2.8099619818165866,2.7974033137286036,4.680591096640825,5.143306055365618,1.1368683772161603e-13,-151
pair_log_ratio_strength_0.75,pair_log_ratio,0.75,1530.2903083330193,2365.606150149897,42,195,2.8099619818165866,2.8064624969268053,4.680591096640825,5.466483687419752,1.1368683772161603e-13,-153
