scope,cutoffs,wape_wins,mean_wape_delta,mean_bias_qty_delta,mean_underforecast_qty_delta,mean_overforecast_qty_delta
all_pilot_bakery_days_observed_sales,3,1,0.00018030011797695125,333.65355692492494,-150.44495425536903,183.20860266955606
demand_loss_days_observed_sales,3,0,0.00132300937266807,150.16279075345915,-29.67194704556103,120.49084370789797
demand_loss_days_reconstructed_demand,3,1,0.00039201730255882666,150.16279075345903,-59.90171714389894,90.26107360956007
no_demand_loss_pilot_bakery_days,3,2,-0.0005371740772813725,183.49076617146602,-120.77300720980838,62.717758961658284
