variant,scope,rows,actual_qty,predicted_qty,bias_qty,mae,wape,underforecast_qty,overforecast_qty,cutoff
observed_sales_target,all_pilot_bakery_days_observed_sales,154,177837.123,179150.14962603123,1313.0266260312278,68.47199686320147,0.05929407392028619,4615.8304454509,5928.857071482127,2026-06-21
observed_sales_target,no_demand_loss_pilot_bakery_days,92,111391.77,108405.51725005402,-2986.252749945984,64.78571489134178,0.053507415942878396,4473.269259974714,1487.0165100287302,2026-06-21
observed_sales_target,demand_loss_days_observed_sales,62,66445.35300000002,70744.63237597722,4299.279375977212,73.94196366015456,0.0689950694810754,142.56118547618524,4441.840561453398,2026-06-21
observed_sales_target,demand_loss_days_reconstructed_demand,62,67444.5647907842,70744.63237597722,3300.067585193021,65.6967305049611,0.0603932622879666,386.56485305728347,3686.6324382503044,2026-06-21
demand_adjusted_target,all_pilot_bakery_days_observed_sales,154,177837.123,179420.23565825925,1583.1126582592797,69.7104631165652,0.06036653730588658,4576.149330845879,6159.261989105158,2026-06-21
demand_adjusted_target,no_demand_loss_pilot_bakery_days,92,111391.77,108488.86110297372,-2902.908897026281,64.83921334716119,0.053551601055794595,4434.058262482555,1531.149365456274,2026-06-21
demand_adjusted_target,demand_loss_days_observed_sales,62,66445.35300000002,70931.37455528557,4486.021555285561,76.93876922600339,0.07179138158859971,142.09106836332506,4628.112623648885,2026-06-21
demand_adjusted_target,demand_loss_days_reconstructed_demand,62,67444.5647907842,70931.37455528557,3486.809764501369,67.5432969596174,0.06209076186474991,350.43732349745454,3837.2470879988236,2026-06-21
observed_sales_target,all_pilot_bakery_days_observed_sales,154,173778.325,171306.0432572055,-2472.281742794473,63.856450711051366,0.05658872249748011,6153.087576148193,3680.8058333537197,2026-06-28
observed_sales_target,no_demand_loss_pilot_bakery_days,86,97221.63699999999,92635.85807965856,-4585.778920341434,69.8755273805958,0.06181026713972364,5297.5371375363375,711.7582171949017,2026-06-28
observed_sales_target,demand_loss_days_observed_sales,68,76556.68800000001,78670.18517754697,2113.497177546961,56.24408904074522,0.04995772615934841,855.550438611857,2969.0476161588185,2026-06-28
observed_sales_target,demand_loss_days_reconstructed_demand,68,77702.4924819356,78670.18517754697,967.6926956113755,53.64328750703513,0.046945000526545815,1340.025427433507,2307.7181230448823,2026-06-28
demand_adjusted_target,all_pilot_bakery_days_observed_sales,154,173778.325,171564.29498666502,-2214.030013334952,64.17019870802547,0.05686676172667634,6048.120307185437,3834.0902938504846,2026-06-28
demand_adjusted_target,no_demand_loss_pilot_bakery_days,86,97221.63699999999,92884.0772902865,-4337.55970971351,69.61323565837746,0.06157824997968777,5162.148988166985,824.5892784534753,2026-06-28
demand_adjusted_target,demand_loss_days_observed_sales,68,76556.68800000001,78680.21769637855,2123.529696378558,57.28635785905089,0.050883501313633894,885.9713190184511,3009.5010153970093,2026-06-28
demand_adjusted_target,demand_loss_days_reconstructed_demand,68,77702.4924819356,78680.21769637855,977.7252144429723,54.576936690891735,0.047762067553282564,1366.753240268833,2344.478454711805,2026-06-28
observed_sales_target,all_pilot_bakery_days_observed_sales,154,173850.86,170099.08642207045,-3751.7735779295676,66.59555709839026,0.05899145850156911,7003.744685540834,3251.9711076112662,2026-07-05
observed_sales_target,no_demand_loss_pilot_bakery_days,100,109947.035,104699.08934645815,-5247.945653541846,69.72803800724431,0.06341966202839787,6110.374727133138,862.4290735912924,2026-07-05
observed_sales_target,demand_loss_days_observed_sales,54,63903.82499999999,65399.99707561228,1496.172075612278,60.794666526438334,0.051372699403011805,893.369958407696,2389.5420340199735,2026-07-05
observed_sales_target,demand_loss_days_reconstructed_demand,54,64920.61354559117,65399.99707561228,479.3835300211133,57.69941376773276,0.047993513512768766,1318.1924067182276,1797.5759367393412,2026-07-05
demand_adjusted_target,all_pilot_bakery_days_observed_sales,154,173850.86,170571.70933115762,-3279.1506688423656,65.68159573923793,0.05818185624070334,6697.058206342504,3417.9075375001385,2026-07-05
demand_adjusted_target,no_demand_loss_pilot_bakery_days,100,109947.035,104917.99858142495,-5029.036418575075,68.16273286155376,0.06199597184367342,5922.6548523652245,893.6184337901499,2026-07-05
demand_adjusted_target,demand_loss_days_observed_sales,54,63903.82499999999,65653.71074973271,1749.8857497327099,61.08689736457904,0.05161964025920621,774.4033539772789,2524.289103709989,2026-07-05
demand_adjusted_target,demand_loss_days_reconstructed_demand,54,64920.61354559117,65653.71074973271,733.0972041415455,56.09020644747432,0.04665499881692518,1147.8869720110338,1880.9841761525793,2026-07-05
