cutoff,scope,wape_delta,bias_qty_delta,underforecast_qty_delta,overforecast_qty_delta
2026-06-21,all_pilot_bakery_days_observed_sales,0.0010724633856003876,270.08603222805186,-39.68111460502041,230.404917623031
2026-06-21,no_demand_loss_pilot_bakery_days,4.4185112916199365e-05,83.34385291970284,-39.21099749215955,44.132855427543745
2026-06-21,demand_loss_days_observed_sales,0.002796312107524318,186.74217930834857,-0.47011711286018,186.2720621954877
2026-06-21,demand_loss_days_reconstructed_demand,0.0016974995767833137,186.7421793083481,-36.12752955982893,150.61464974851924
2026-06-28,all_pilot_bakery_days_observed_sales,0.0002780392291962322,258.2517294595209,-104.96726896275595,153.28446049676495
2026-06-28,no_demand_loss_pilot_bakery_days,-0.00023201716003586753,248.21921062792444,-135.3881493693525,112.83106125857364
2026-06-28,demand_loss_days_observed_sales,0.0009257751542854839,10.032518831596917,30.420880406594165,40.45339923819074
2026-06-28,demand_loss_days_reconstructed_demand,0.0008170670267367494,10.032518831596803,26.72781283532595,36.760331666922866
2026-07-05,all_pilot_bakery_days_observed_sales,-0.000809602260865766,472.62290908720206,-306.68647919833074,165.93642988887223
2026-07-05,no_demand_loss_pilot_bakery_days,-0.0014236901847244493,218.90923496677078,-187.7198747679131,31.189360198857457
2026-07-05,demand_loss_days_observed_sales,0.0002469408561944081,253.71367412043196,-118.96660443041708,134.74706969001545
2026-07-05,demand_loss_days_reconstructed_demand,-0.0013385146958435831,253.7136741204322,-170.30543470719385,83.4082394132381
