Ассортимент пекарни с режимом работы пекаря с 4.00-16.00 Выручка от 3 млн;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Стол;Наименование;4:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;;;;;
;;;;;;;;;;;;;;;;
;;4:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;4:00-7:00;8:00-10:00;10:00-12:00;12:00-15.00;
;;;;;;;;;;;;;;;;
Пекарь Стол 2;Клубника банан;;;;;;;;;;4;Собрать начинку на сметанники;Собрать начинку на сметанники, поставить в печь;Сформовать пироги, поставить в печь;Собрать начинки на Ханский, Байский;
Пекарь Стол 2;Вишневый;;;;;;;;;;4;Сформовать сметанники, поставить  в печь;Паралельно поставить изделия в расстойку и выпекать;Собрать тесто сдобное 4,050кг;Сформовать пироги, поставить в печь;
Пекарь Стол 2;Мандариновый пай;;;2;;;;;;;;Поставить в расстойку изделия ночного хранения;;Поделить тесто на пироги, пирожки;Поставить сдобное тесто 4,050кг;
Пекарь Стол 2;Яблочный;2;;;;;;;;2;;Собрать начинки на Ханский, Байский;;Сформовать пирожки, убрать в расстойку;Сформовать изделия часть убрать на хранение, часть на выпекание;
Пекарь Стол 2;Ханский (тесто ночного брожжения);;;1;;;;;;;;Сформовать пироги, поставить в печь;;Собрать начинку на яблочные пирожки;Собрать начинку на пирожки яблочные;
Пекарь Стол 2;Балиш с говядиной (тесто ночного брожжения);;;1;;;;;;;;;;;;
Пекарь Стол 2;Сметанник (тесто ночного брожжения);6;;;;6;;;;4;;Поделить на пироги;;Сформовать сосиску под шубой;Поставить песочное тесто;
Пекарь Стол 2;Губадия;;;;;2;;;;;2;Собрать начинку на яблочные пирожки;;Собрать начинку на пирог Яблочный;Поделить тесто на ночное хранение, на пироги, мини губадию;
Помощник пекаря;Сэндвич курица;6;;;;;6;;;;;Сформовать пирожки, убрать в расстойку;;Сформовать пирог, убрать в расстойку;Тесто на  сметанники, киши убрать в шариках, под пленкой в холодильник;
Помощник пекаря;Жар Пицца Пикантная;6;;;;;6;;;;;Собрать начинку на беккен;;Поставить тесто песочное ;Сформовать песочные пироги, поставить на выпекание;
Помощник пекаря;Жар Пицца Оригинальная;6;;;;;6;;;;;Сформовать пирожки, убрать в расстойку;;Собрать начинку на киши, сформовать, поставить выпекаться;Паралельно поставить изделия в расстойку и выпекать;
Помощник пекаря;Кыстыбый;;15;;;;15;;;15;;Паралельно поставить изделия в расстойку и выпекать;;Собрать начинку на мини губадия;;
Помощник пекаря;Бейгл курица;5;;;;;;;;;;;;Сформовать пирожок, поставить в печь;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;контролируется план выпекания по видеофиксации;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Ассортимент пирогов Чебоксары;;;;;;;;;;;;;;;
;Картофель мясо;;;;;;;;;;;;;;;
;Пирог Хуплу;;;;;;;;;;;;;;;
;Капуста курица;;;;;;;;;;;;;;;
;Капустный;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Ассортимент пирогов РТ;;;;;;;;;;;;;;;
;Капустный;;;;;;;;;;;;;;;
;Капуста мясо;;;;;;;;;;;;;;;
;Капуста курица;;;;;;;;;;;;;;;
;Жар Киш;;;;;;;;;;;;;;;
