cutoff,variant,scope,bias_qty_delta,abs_bias_delta,mae_delta,underforecast_qty_delta,overforecast_qty_delta
2026-06-21,conservative_total_observed_profile,all_sku_days_observed_sales,839.4991425668022,839.4991425668022,0.011026903868093463,-287.15656572151056,552.3425768453017
2026-06-21,conservative_total_observed_profile,all_sku_days_conservative_demand,839.4991425668018,-668.7703540051657,0.010390815091382066,-294.80521521707124,544.693927349741
2026-06-21,conservative_total_observed_profile,all_sku_days_full_reconstructed_demand,839.499142566802,-839.499142566802,0.010321939548701309,-295.63340918003814,543.8657333867741
2026-06-21,conservative_total_observed_profile,clean_sku_days_observed_sales,789.7788806609421,789.7788806609421,0.010507188668372969,-270.5999055722932,519.1789750886528
2026-06-21,conservative_total_observed_profile,adjusted_pairs_clean_sku_days,318.4516372645867,-318.4516372645867,0.014217850595153791,-134.20951051012162,184.24212675446506
2026-06-21,conservative_total_observed_profile,stockout_sku_days_observed_lower_bound,49.72026190586092,49.72026190586092,0.04247299643845359,-16.556660149212576,33.16360175664795
2026-06-21,conservative_total_observed_profile,stockout_sku_days_conservative_target,49.72026190586075,-49.72026190586075,0.003349469606908073,-24.20530964477939,25.514952261080907
2026-06-21,conservative_total_observed_profile,stockout_sku_days_full_point,49.72026190586075,-49.72026190586075,-0.0008868166486557527,-25.03350360774266,24.68675829811764
2026-06-21,observed_total_conservative_profile,all_sku_days_observed_sales,-4.547473508864641e-13,-4.547473508864641e-13,-0.00027621818869771886,-3.321385609997378,-3.3213856099901022
2026-06-21,observed_total_conservative_profile,all_sku_days_conservative_demand,-2.2737367544323206e-13,2.2737367544323206e-13,-0.0005638246796504376,-6.779709860456933,-6.779709860449657
2026-06-21,observed_total_conservative_profile,all_sku_days_full_reconstructed_demand,-4.547473508864641e-13,4.547473508864641e-13,-0.0006332519014824456,-7.614537489382201,-7.614537489367649
2026-06-21,observed_total_conservative_profile,clean_sku_days_observed_sales,-94.19715926447145,-94.19715926447145,-0.0034021392149607976,6.854674858463113,-87.3424844060064
2026-06-21,observed_total_conservative_profile,adjusted_pairs_clean_sku_days,384.6480397590858,-384.6480397590858,0.04357164505618627,-115.6597104031789,268.9883293559051
