variant,product_id,is_stockout_sku_day,sku_days,net_prediction_delta,positive_prediction_delta,product_name
conservative_total_conservative_profile,11441,False,170,0.2405141074205024,0.7606087738224707,Кукис Орео ЦП
conservative_total_conservative_profile,1393,False,192,0.2536424092204543,0.7593596197253778,Добрый 300 Яблоко
conservative_total_conservative_profile,4192,False,69,0.6672802672126052,0.7556294153906891,Вишневый
conservative_total_conservative_profile,10453,False,193,-0.44712805597873645,0.7537528876643927,Салат Цезарь вес сеть
conservative_total_conservative_profile,11536,False,124,0.4440277027041674,0.7302560321958129,Суп лапша с курицей 300мл
conservative_total_conservative_profile,11280,False,149,0.09552544132801659,0.6924889075292869,Пирог Ягодный
conservative_total_conservative_profile,10539,False,163,-0.4427450270290459,0.6910713895013758,Курица по французски вес сеть
conservative_total_conservative_profile,10371,False,206,-0.5208312678028661,0.6692943593089613,Плов с курицей вес сеть
conservative_total_conservative_profile,10498,False,154,-0.46705129399149314,0.664844402738451,Салат Мимоза вес
conservative_total_conservative_profile,11440,False,154,-0.034266806572256836,0.6645484855380136,Кукис красный вельвет ЦП
conservative_total_conservative_profile,10515,False,167,0.3561168400883348,0.6503857144680304,Рич 500 Черный чай Лимон
conservative_total_conservative_profile,10378,False,232,-0.4236261484352649,0.6383594575927252,Салат Оливье вес сеть
conservative_total_conservative_profile,1399,False,177,0.22851657013233173,0.637024070811171,Pulpy Тропик
conservative_total_conservative_profile,10662,True,3,0.45820828652541223,0.630512709366879,Хот-дог Датский куриный
conservative_total_conservative_profile,10367,False,240,-0.01230590932858374,0.628223562838135,Сырники вес сеть
conservative_total_conservative_profile,10440,False,222,0.04373008281097111,0.6210925725595144,Запеканка творожная вес сеть
conservative_total_conservative_profile,5235,False,143,-0.5943156493522508,0.6159911608434755,ЖарЧай Клюква малый
conservative_total_conservative_profile,1392,False,196,0.29485642239994825,0.6157547340461149,Добрый 300 Мультифрукт
conservative_total_conservative_profile,10375,False,237,0.02477471189085513,0.5726798891226464,Блины творог вес сеть
conservative_total_conservative_profile,10514,False,175,0.3022351898418273,0.5700511042529848,Рич 500 Зел чай манго
conservative_total_conservative_profile,10368,False,203,-0.619114520803013,0.5639274098552679,Крылышки терияки П вес сеть
conservative_total_conservative_profile,58,True,7,0.3625348918456506,0.5256606882359374,Сочень
conservative_total_conservative_profile,11444,False,170,-0.03746518118461353,0.481265670565756,Кукис Лимонный ЦП
conservative_total_conservative_profile,10516,False,143,0.18880928882901685,0.47828015878941516,Рич 500 Черный чай Персик
conservative_total_conservative_profile,10510,False,157,-0.07915936383132255,0.46993171881078966,Добрый Апельсин газ 500
conservative_total_conservative_profile,11537,False,124,0.2678986297911366,0.4686074939885487,Борщ 300мл
conservative_total_conservative_profile,10695,False,90,-0.19744154652353,0.41760625188083855,Апельсиновый кофе
