cutoff,variant,is_stockout_sku_day,sku_days,net_prediction_delta,positive_prediction_delta,negative_prediction_delta
2026-06-21,conservative_total_conservative_profile,False,23658,694.1253255702205,1917.9961309009996,1223.8708053307791
2026-06-21,conservative_total_conservative_profile,True,391,145.37381699658133,186.25589950157666,40.88208250499532
2026-06-21,conservative_total_guarded_profile,False,23658,705.3971108961385,1518.2714810069251,812.8743701107869
2026-06-21,conservative_total_guarded_profile,True,391,134.10203167066334,148.08402429993376,13.981992629270422
2026-06-21,conservative_total_observed_profile,False,23658,789.7788806609416,1181.8332513410746,392.054370680133
2026-06-21,conservative_total_observed_profile,True,391,49.720261905860845,60.17022645199093,10.449964546130081
2026-06-21,observed_total_conservative_profile,False,23658,-94.197159264472,1065.3059255772196,1159.5030848416914
2026-06-21,observed_total_conservative_profile,True,391,94.19715926447168,145.66532475309725,51.468165488625544
2026-06-21,observed_total_observed_profile,False,23658,0.0,0.0,0.0
2026-06-21,observed_total_observed_profile,True,391,0.0,0.0,0.0
2026-07-05,conservative_total_conservative_profile,False,21193,373.4737145522782,3531.698159657283,3158.2244451050046
2026-07-05,conservative_total_conservative_profile,True,389,453.19269812896636,533.3072834320237,80.11458530305747
2026-07-05,conservative_total_guarded_profile,False,21193,472.257657361424,3001.3425883536124,2529.0849309921887
2026-07-05,conservative_total_guarded_profile,True,389,354.4087553198201,410.98743356250714,56.578678242687026
2026-07-05,conservative_total_observed_profile,False,21193,783.1954207935944,1191.8038144685206,408.6083936749263
2026-07-05,conservative_total_observed_profile,True,389,43.470991887650094,60.17696624860645,16.705974360956347
2026-07-05,observed_total_conservative_profile,False,21193,-408.151338611419,2888.038763096199,3296.190101707618
2026-07-05,observed_total_conservative_profile,True,389,408.1513386114195,499.3284439848504,91.177105373431
2026-07-05,observed_total_observed_profile,False,21193,0.0,0.0,0.0
2026-07-05,observed_total_observed_profile,True,389,0.0,0.0,0.0
