variant,scope,rows,actual_qty,predicted_qty,bias_qty,mae,wape,underforecast_qty,overforecast_qty,sku_days,sku_day_mae,sku_day_wape,sku_day_underforecast_qty,sku_day_overforecast_qty
observed_sales_profile,all_holdout,90644,173850.86,173717.36,-133.5,2.4152563779318257,1.2592891350738926,109530.9995606262,109397.4995606262,21575,6.670818337312133,0.827852710233986,72028.20281375461,71894.70281375461
observed_sales_profile,clean_bakery_days,12341,24931.366,24895.865999999998,-35.50000000000364,2.4755269440711256,1.2253832387997414,15292.98900839088,15257.489008390881,2818,6.624382666763108,0.7487560190219195,9351.505177469218,9316.005177469217
observed_sales_profile,clean_sku_days,88254,167924.86,167165.80071973882,-759.0592802611645,2.394123179426328,1.2582469747307883,106025.00317867617,105265.94389841499,21186,6.579707758207766,0.8301194270186661,70078.37392282544,69319.31464256425
observed_sales_profile,adjusted_pairs_clean_sku_days,21126,52522.0,63005.8925494533,10483.892549453303,3.3609933509883785,1.351897215128527,30260.22649176359,40744.119041216894,2942,14.496316769566914,0.8120057106748764,16082.135693306276,26566.02824275958
observed_sales_profile,stable_routing_clean_sku_days,88131,167868.36000000002,167109.30071973882,-759.0592802611936,2.3965701651792126,1.2582009214089491,105985.59225383517,105226.53297357398,21179,6.582361583649697,0.8304592716585599,70083.44763018907,69324.38834992787
observed_sales_profile,new_exact_routing_clean_sku_days,123,56.5,56.50000000000001,7.105427357601002e-15,0.6408280461949001,1.395076985521641,39.41092484098635,39.41092484098635,123,0.6408280461949001,1.395076985521641,39.41092484098635,39.41092484098635
observed_sales_profile,stable_tier1_membership_clean_sku_days,83260,158503.24300000002,157925.86676479102,-577.376235208998,2.3803809737714907,1.2503877909691368,99383.94805571166,98806.57182050268,20844,6.297696706803128,0.8281798382926738,65923.2831959067,65345.90696069771
observed_sales_profile,new_tier1_member_clean_sku_days,4994,9421.617,9239.933954947795,-181.68304505220476,2.6232333201595526,1.3904648428053068,6641.055122964506,6459.3720779123005,3602,3.2374126659815303,1.2377026600492753,5921.4217339588395,5739.738688906633
demand_adjusted_profile,all_holdout,90823,173850.86000000002,173717.36000000002,-133.5,2.40566139642534,1.2567633258043052,109311.44250376934,109177.94250376933,21579,6.644352930839693,0.8247212115866998,71755.99594729485,71622.49594729485
demand_adjusted_profile,clean_bakery_days,12278,24931.366,24895.866,-35.5,2.487756117319993,1.2251502628638509,15290.084804227434,15254.584804227434,2815,6.638518876004363,0.749555023818281,9361.465317976139,9325.96531797614
demand_adjusted_profile,clean_sku_days,88387,167924.86,166927.83484495632,-997.025155043666,2.3834366143849777,1.2545183127480055,105830.91859534437,104833.89344030066,21190,6.548223735846487,0.8263032701804073,69876.94305881539,68879.91790377168
demand_adjusted_profile,adjusted_pairs_clean_sku_days,21335,52522.0,63695.15030194994,11173.150301949943,3.3393418816499936,1.3564765059404176,30035.85437152633,41209.00467347627,2949,14.489969014923364,0.8135813302046571,15778.884161529528,26952.03446347947
demand_adjusted_profile,stable_routing_clean_sku_days,88353,167868.36000000002,166871.3348449563,-997.0251550437242,2.3831201208294575,1.2542912317463817,105776.41859534437,104779.39344030066,21186,6.546989633336338,0.826269598224845,69850.77376345368,68853.74860840998
demand_adjusted_profile,new_exact_routing_clean_sku_days,34,56.5,56.5,0.0,3.2058823529411766,1.9292035398230087,54.5,54.5,34,3.2058823529411766,1.9292035398230087,54.5,54.5
demand_adjusted_profile,stable_tier1_membership_clean_sku_days,83427,158503.24300000002,157925.7787993651,-577.4642006349168,2.3757538844681414,1.2504603411775217,99389.74176007927,98812.27755944437,20851,6.29528081507078,0.8281401553092564,65920.18223783787,65342.71803720296
demand_adjusted_profile,new_tier1_member_clean_sku_days,4960,9421.617,9002.056045591205,-419.5609544087947,2.5126598217986675,1.3227870243633755,6441.176835265094,6021.615880856299,3529,3.118140537425197,1.1679436721502818,5711.739455491159,5292.178501082362
demand_adjusted_guarded_routing,all_holdout,90912,173850.86000000002,173717.36,-133.5000000000291,2.4029811569448785,1.2565932831173383,109296.6614700864,109163.16147008639,21582,6.640563256252121,0.8243654141051316,71725.06809821664,71591.56809821662
demand_adjusted_guarded_routing,clean_bakery_days,12367,24931.366,24895.865999999998,-35.50000000000364,2.4674624032577794,1.223964524891615,15275.30377054448,15239.803770544482,2818,6.609501397372541,0.7470739845460461,9330.53746889791,9295.037468897912
