cutoff,variant,scope,wape_delta,sku_day_wape_delta,under_delta,over_delta
cutoff_20260621,demand_adjusted_profile,all_holdout,-0.00023561944007188806,0.0007555289264880027,67.26440902578179,67.26440902578906
cutoff_20260621,demand_adjusted_profile,clean_bakery_days,0.0003072131508596865,-9.08906168254342e-05,-0.9646441118984512,-0.9646441118993607
cutoff_20260621,demand_adjusted_profile,clean_sku_days,-0.0007757280622111562,0.00030094659023938153,75.57863907176943,-23.701127883301524
cutoff_20260621,demand_adjusted_profile,adjusted_pairs_clean_sku_days,0.00519141012709623,0.005693287139305281,-87.41561977306083,333.0923464083662
cutoff_20260621,demand_adjusted_profile,stable_routing_clean_sku_days,-0.001039743779854163,-0.00039433852963977056,17.276004309045675,-85.21920759417844
cutoff_20260621,demand_adjusted_profile,new_exact_routing_clean_sku_days,0.5376578308728941,0.5376578308728941,21.1040196176604,24.319464565805234
cutoff_20260621,demand_adjusted_profile,stable_tier1_membership_clean_sku_days,0.00033120623296345464,0.0002970355354231513,34.753478658996755,16.045740296183794
cutoff_20260621,demand_adjusted_profile,new_tier1_member_clean_sku_days,-0.13992783926199048,-0.13821021850697512,-53.72761695712131,-134.2996455493817
cutoff_20260621,demand_adjusted_guarded_routing,all_holdout,-0.00046883387895424455,7.103186426149488e-05,6.3239357277343515,6.323935727727076
cutoff_20260621,demand_adjusted_guarded_routing,clean_bakery_days,0.0003072131508596865,-9.08906168254342e-05,-0.9646441118984512,-0.9646441118993607
cutoff_20260621,demand_adjusted_guarded_routing,clean_sku_days,-0.0010345503811048928,-0.0003969892523829621,16.968218670219358,-85.40167181494326
cutoff_20260621,demand_adjusted_guarded_routing,adjusted_pairs_clean_sku_days,0.0036264772227685427,0.0038197718907804212,-98.40213336617671,263.23292999712794
cutoff_20260621,demand_adjusted_guarded_routing,stable_routing_clean_sku_days,-0.001039743779854163,-0.00039433852963977056,17.276004309045675,-85.21920759417844
