week_start,cases,allocation_cases,demand_loss_cases,uncertain_cases,adjusted_cases,imputed_demand,baseline_shortfall,shadow_shortfall,shortfall_reduction,shortfall_reduction_ratio,cases_fixed,cases_improved,cases_worsened,median_bakery_ratio
2026-06-01,41,28,1,12,1,3.0,195.2108318479148,194.6498322219314,0.5609996259833898,0.002873814022884009,1,1,0,1.0396868395842227
2026-06-08,54,21,8,25,8,35.75,230.49706803796778,203.89708735372295,26.59998068424482,0.11540268564224529,6,8,0,0.908340096698784
2026-06-15,55,31,2,22,2,12.059989686586832,238.83246010841074,235.45507722119706,3.377382887213697,0.014141222201038488,2,2,0,0.9652234476403232
2026-06-22,70,45,4,21,4,14.117931312898769,216.29774636650217,208.90612737683313,7.391618989669065,0.03417335184410316,4,4,0,0.9963902783445602
2026-06-29,73,40,8,25,8,57.385250726603886,215.1324998339972,199.82734380494782,15.30515602904942,0.07114292838534088,8,8,0,0.9488416988416988
2026-07-06,47,27,2,18,1,15.0,164.93904144070217,163.63463626976443,1.3044051709377307,0.007908407612558377,1,1,0,0.9501391184996528
2026-07-13,57,39,1,17,1,3.0,248.37508406110646,247.21454321816503,1.160540842941424,0.004672533266887197,1,1,0,0.9821544611258248
