cutoff,scope,baseline_wape,variant_wape,wape_delta,baseline_sku_day_wape,variant_sku_day_wape,sku_day_wape_delta,underforecast_qty_delta,overforecast_qty_delta
2026-06-21,adjusted_pairs_clean_sku_days,1.1002372809364438,1.1038637581592123,0.0036264772227685427,0.5422530980612531,0.5460728699520335,0.0038197718907804212,-102.57265912319417,259.0624042401105
2026-06-21,all_holdout,1.2079210381309449,1.2074522042519906,-0.00046883387895424455,0.665125087258646,0.6651961191229075,7.103186426149488e-05,-41.74007465962495,-41.740074659639504
2026-06-21,clean_bakery_days,1.1327239082965248,1.1330311214473845,0.0003072131508596865,0.586646895978888,0.5865560053620625,-9.08906168254342e-05,3.2605275156529387,3.2605275156511198
2026-06-21,clean_sku_days,1.2075204347424988,1.206485884361394,-0.0010345503811048928,0.6691578901234488,0.6687609008710659,-0.0003969892523829621,-37.98353300488088,-140.35342349002894
2026-06-21,new_tier1_member_clean_sku_days,1.6192075222985522,1.4464844470780125,-0.17272307522053976,1.5457021078897273,1.3746966534242024,-0.17100545446552484,-75.6589596114884,-159.3211117338443
2026-06-28,adjusted_pairs_clean_sku_days,1.4713222881461328,1.4782468900678665,0.00692460192173372,0.8408320578434264,0.8471415034590868,0.006309445615660381,-184.41481345774082,505.3908863358811
2026-06-28,all_holdout,1.406835893128324,1.40465013609119,-0.002185757037133973,0.9243095550695442,0.9228116046654288,-0.001497950404115378,-190.06722986360546,-190.0672298635618
2026-06-28,clean_bakery_days,1.362706871981905,1.3592258681025993,-0.003481003879305833,0.8448150707480855,0.8447577659859867,-5.730476209875324e-05,-37.74062111746207,-37.74062111746207
2026-06-28,clean_sku_days,1.4047535330092538,1.4022452017715223,-0.0025083312377314204,0.9236908981658828,0.9219214018996158,-0.00176949626626699,-170.15376297963667,-253.82275634806138
2026-06-28,new_tier1_member_clean_sku_days,1.6359462387303263,1.547275650263862,-0.08867058846646425,1.5438803454135943,1.4305058264353248,-0.11337451897826956,-178.8308135283296,-256.032540652448
2026-07-05,adjusted_pairs_clean_sku_days,1.351897215128527,1.355504910638444,0.0036076955099171304,0.8120057106748764,0.8126992541203957,0.0006935434455193068,-228.52677930860227,418.01016288048413
2026-07-05,all_holdout,1.2592891350738926,1.2565932831173383,-0.002695851956554307,0.827852710233986,0.8243654141051316,-0.0034872961288543447,-234.33809053979348,-234.33809053979348
2026-07-05,clean_bakery_days,1.2253832387997414,1.223964524891615,-0.0014187139081265343,0.7487560190219195,0.7470739845460461,-0.0016820344758733397,-17.685237846399104,-17.685237846397285
2026-07-05,clean_sku_days,1.2582469747307885,1.2543422693237865,-0.0039047054070020515,0.8301194270186661,0.8259349167504481,-0.004184510268218089,-208.86561701475875,-446.83149179728935
2026-07-05,new_tier1_member_clean_sku_days,1.3904648428053068,1.3196493392541306,-0.07081550355117616,1.237702660049275,1.164805987041037,-0.0728966730082381,-214.65932138236622,-452.53723073895617
