scope,cutoffs,wape_wins,mean_wape_delta,sku_day_wape_wins,mean_sku_day_wape_delta,mean_underforecast_qty_delta,mean_overforecast_qty_delta
adjusted_pairs_clean_sku_days,3,0,0.004719591551473131,0,0.0036075869839867027,-171.8380839631791,394.1544844854919
all_holdout,3,3,-0.0017834809575475081,2,-0.001638071556236076,-155.3817983543413,-155.3817983543316
clean_bakery_days,3,2,-0.0015308348788575603,3,-0.0006100766182658424,-17.38844381606941,-17.38844381606941
clean_sku_days,3,3,-0.0024825290086127882,3,-0.0021169985956226802,-139.00097099975878,-280.3358905451266
new_tier1_member_clean_sku_days,3,3,-0.11073638907939339,3,-0.11909221548401083,-156.38303150739475,-289.2969610417495
