gap_hours,method,volume_band,cases,true_hidden_units,predicted_units,recovery_ratio,bias_pct,wape_pct,mae
2,bakery_share,<=10,444,748.0,594.5748519868318,0.7948861657577966,-20.51138342422034,85.38772061119394,1.4385138517381322
2,good_day,<=10,444,748.0,511.42335360717715,0.683721060972162,-31.627893902783804,82.3226916166913,1.3868777776866013
2,guarded_hybrid,<=10,444,748.0,545.3348197168139,0.7290572456107137,-27.094275438928626,71.2584327474811,1.20047990304315
2,bakery_share,>10,339,1799.0,1356.0685046487517,0.7537901637847425,-24.62098362152575,56.11423141995117,2.977861425501243
2,good_day,>10,339,1799.0,1309.0938107558077,0.7276786052005602,-27.23213947994399,64.6088842787043,3.4286543603949564
2,guarded_hybrid,>10,339,1799.0,1573.2139187651223,0.8744935624041814,-12.550643759581858,56.94581370458863,3.0219917066240396
3,bakery_share,<=10,429,874.0,710.9080790848643,0.8133959714929797,-18.660402850702024,79.19971574743326,1.6135326704721833
3,good_day,<=10,429,874.0,596.613741732124,0.6826244184578079,-31.73755815421922,76.08760657799895,1.5501297936869718
3,guarded_hybrid,<=10,429,874.0,612.3249973514285,0.7006006834684536,-29.939931653154638,67.02510168783989,1.3654997406800016
3,bakery_share,>10,339,2706.0,2108.1094608175854,0.7790500594300019,-22.094994056999802,43.910959350134746,3.5051048967983665
3,good_day,>10,339,2706.0,1961.0286750873825,0.724696480076638,-27.5303519923362,54.973146204727385,4.388121935987973
3,guarded_hybrid,>10,339,2706.0,2231.859714029144,0.8247818603211914,-17.521813967880856,46.95106399339536,3.7477751966409394
4,bakery_share,<=10,416,1014.0,811.0415760085257,0.7998437633220175,-20.01562366779826,73.34377022995044,1.787754399355042
4,good_day,<=10,416,1014.0,682.6371212937389,0.6732121511772573,-32.67878488227427,73.89731595157109,1.8012470763195454
4,guarded_hybrid,<=10,416,1014.0,643.1404124285083,0.6342607617638149,-36.573923823618514,66.43497525326153,1.6193525217982498
4,bakery_share,>10,339,3594.0,2922.3972994684045,0.8131322480435182,-18.686775195648178,39.64710389852984,4.203294731897234
4,good_day,>10,339,3594.0,2641.0395521661003,0.7348468425615193,-26.51531574384807,52.191042445303935,5.533174234466736
4,guarded_hybrid,>10,339,3594.0,2721.06650099506,0.7571136619351864,-24.28863380648136,44.39712298183686,4.7068808258619965
