cutoff,variant,scope,delta,under,over
cutoff_20260621,demand_adjusted_membership_seed_0.5,stable_routing_clean_sku_days,-0.0005161231730176352,-14.953615889440698,-73.97267213150917
cutoff_20260621,demand_adjusted_membership_seed_0.5,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.5,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.5,new_tier1_member_clean_sku_days,-0.15464069820090365,-75.68047689057869,-134.69953313265137
cutoff_20260621,demand_adjusted_membership_seed_1,all_holdout,-0.0002447540281508287,-21.79034380163648,-21.790343801629206
cutoff_20260621,demand_adjusted_membership_seed_1,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_1,clean_sku_days,-0.0006921772017250971,-17.935966906661633,-101.38231644170446
cutoff_20260621,demand_adjusted_membership_seed_1,adjusted_pairs_clean_sku_days,0.001989400167280886,-30.477467068682017,116.32406308718782
cutoff_20260621,demand_adjusted_membership_seed_1,stable_routing_clean_sku_days,-0.0006925166041594766,-17.935966906661633,-101.38231644170446
cutoff_20260621,demand_adjusted_membership_seed_1,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_1,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_1,new_tier1_member_clean_sku_days,-0.17139050405610545,-74.86041668253426,-158.30676621756993
cutoff_20260628,demand_adjusted_membership_seed_0.02,all_holdout,-0.0001304020189929478,-11.339389555927482,-11.339389555927482
cutoff_20260628,demand_adjusted_membership_seed_0.02,clean_bakery_days,1.0944765493903219e-05,0.11866181769619288,0.1186618176943739
cutoff_20260628,demand_adjusted_membership_seed_0.02,clean_sku_days,-0.00014052765370242692,-10.66504889713542,-13.087964496706263
cutoff_20260628,demand_adjusted_membership_seed_0.02,adjusted_pairs_clean_sku_days,-3.678183199029572e-05,-12.060077294332586,10.35512903608469
cutoff_20260628,demand_adjusted_membership_seed_0.02,stable_routing_clean_sku_days,-0.00014052765370242692,-10.66504889713542,-13.087964496706263
cutoff_20260628,demand_adjusted_membership_seed_0.02,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.02,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.02,new_tier1_member_clean_sku_days,-0.014731671970037885,-34.91249489060647,-37.33541049015594
cutoff_20260628,demand_adjusted_membership_seed_0.05,all_holdout,-0.0003061411009045445,-26.621161459275754,-26.621161459290306
cutoff_20260628,demand_adjusted_membership_seed_0.05,clean_bakery_days,2.6752484221681527e-05,0.2900471835037024,0.2900471835055214
cutoff_20260628,demand_adjusted_membership_seed_0.05,clean_sku_days,-0.0003304290247028163,-24.964216166947153,-30.887317980916123
cutoff_20260628,demand_adjusted_membership_seed_0.05,adjusted_pairs_clean_sku_days,-5.028698752118643e-05,-28.385253288292006,26.054300555719237
cutoff_20260628,demand_adjusted_membership_seed_0.05,stable_routing_clean_sku_days,-0.0003304290247028163,-24.964216166947153,-30.887317980916123
cutoff_20260628,demand_adjusted_membership_seed_0.05,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.05,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.05,new_tier1_member_clean_sku_days,-0.03288783078314639,-77.68363625954089,-83.60673807351986
cutoff_20260628,demand_adjusted_membership_seed_0.1,all_holdout,-0.0005321069630873643,-46.27051165656303,-46.27051165656303
cutoff_20260628,demand_adjusted_membership_seed_0.1,clean_bakery_days,5.153205127261806e-05,0.5587042387523979,0.5587042387523979
cutoff_20260628,demand_adjusted_membership_seed_0.1,clean_sku_days,-0.0005770226618692087,-43.04741494813061,-54.48518205198343
cutoff_20260628,demand_adjusted_membership_seed_0.1,adjusted_pairs_clean_sku_days,0.00010136669157723155,-49.68436757033123,54.38301782501003
cutoff_20260628,demand_adjusted_membership_seed_0.1,stable_routing_clean_sku_days,-0.0005770226618692087,-43.04741494813061,-54.48518205198343
cutoff_20260628,demand_adjusted_membership_seed_0.1,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.1,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.1,new_tier1_member_clean_sku_days,-0.05205106977715279,-121.91702810411289,-133.35479520797617
cutoff_20260628,demand_adjusted_membership_seed_0.2,all_holdout,-0.0008535709888517484,-74.2241111828771,-74.22411118289165
cutoff_20260628,demand_adjusted_membership_seed_0.2,clean_bakery_days,9.558552507771267e-05,1.0363266492531693,1.0363266492495313
cutoff_20260628,demand_adjusted_membership_seed_0.2,clean_sku_days,-0.0009328876513103879,-68.10453048117051,-89.57897374533059
cutoff_20260628,demand_adjusted_membership_seed_0.2,adjusted_pairs_clean_sku_days,0.0006604952459251523,-80.66006448797998,111.2760006223507
cutoff_20260628,demand_adjusted_membership_seed_0.2,stable_routing_clean_sku_days,-0.0009328876513103879,-68.10453048117051,-89.57897374533059
cutoff_20260628,demand_adjusted_membership_seed_0.2,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.2,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.2,new_tier1_member_clean_sku_days,-0.0765533312354405,-176.98138366027706,-198.45582692444987
cutoff_20260628,demand_adjusted_membership_seed_0.25,all_holdout,-0.0009732704740885723,-84.63283877176582,-84.63283877178037
cutoff_20260628,demand_adjusted_membership_seed_0.25,clean_bakery_days,0.00011504939210982279,1.2473515307519847,1.2473515307538037
cutoff_20260628,demand_adjusted_membership_seed_0.25,clean_sku_days,-0.0010673885644267855,-77.1676703429257,-103.25016343775496
cutoff_20260628,demand_adjusted_membership_seed_0.25,adjusted_pairs_clean_sku_days,0.0009999538626520588,-92.46480502873601,138.8156664242415
cutoff_20260628,demand_adjusted_membership_seed_0.25,stable_routing_clean_sku_days,-0.0010673885644267855,-77.1676703429257,-103.25016343775496
cutoff_20260628,demand_adjusted_membership_seed_0.25,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.25,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.25,new_tier1_member_clean_sku_days,-0.0830844490622995,-190.6924989050417,-216.77499199988324
cutoff_20260628,demand_adjusted_membership_seed_0.5,all_holdout,-0.0013139889552193917,-114.260751102207,-114.260751102207
cutoff_20260628,demand_adjusted_membership_seed_0.5,clean_bakery_days,0.00019003013632767907,2.060283649401754,2.060283649403573
cutoff_20260628,demand_adjusted_membership_seed_0.5,clean_sku_days,-0.0014663593602431968,-100.86704558233032,-146.98775456829753
cutoff_20260628,demand_adjusted_membership_seed_0.5,adjusted_pairs_clean_sku_days,0.0029863383511147257,-128.67410563824524,267.09984722746594
cutoff_20260628,demand_adjusted_membership_seed_0.5,stable_routing_clean_sku_days,-0.0014663593602431968,-100.86704558233032,-146.98775456829753
cutoff_20260628,demand_adjusted_membership_seed_0.5,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.5,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.5,new_tier1_member_clean_sku_days,-0.09993049708436597,-221.98206542675325,-268.10277441272774
cutoff_20260628,demand_adjusted_membership_seed_1,all_holdout,-0.0014784192870083146,-128.5591461835138,-128.5591461835138
cutoff_20260628,demand_adjusted_membership_seed_1,clean_bakery_days,0.00025350325535378193,2.748451493898756,2.748451493900575
cutoff_20260628,demand_adjusted_membership_seed_1,clean_sku_days,-0.0017242369913491595,-107.34564985217003,-184.0975164616102
cutoff_20260628,demand_adjusted_membership_seed_1,adjusted_pairs_clean_sku_days,0.006775335351701828,-157.63578851169223,471.69290806912977
cutoff_20260628,demand_adjusted_membership_seed_1,stable_routing_clean_sku_days,-0.0017242369913491595,-107.34564985217003,-184.0975164616102
cutoff_20260628,demand_adjusted_membership_seed_1,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_1,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_1,new_tier1_member_clean_sku_days,-0.11333129604494441,-239.526967669015,-316.27883427847473
cutoff_20260705,demand_adjusted_membership_seed_0.02,all_holdout,-0.00015603125570617937,-13.563083995686611,-13.56308399567206
cutoff_20260705,demand_adjusted_membership_seed_0.02,clean_bakery_days,-4.1446886946738815e-05,-0.5166637540187367,-0.5166637540169177
cutoff_20260705,demand_adjusted_membership_seed_0.02,clean_sku_days,-0.0001875069114927186,-11.557139706623275,-19.929932154831477
cutoff_20260705,demand_adjusted_membership_seed_0.02,adjusted_pairs_clean_sku_days,-0.0001353659844653965,-12.694405985987032,5.584713749893126
cutoff_20260705,demand_adjusted_membership_seed_0.02,stable_routing_clean_sku_days,-0.00018757002130398437,-11.557139706608723,-19.929932154831477
cutoff_20260705,demand_adjusted_membership_seed_0.02,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.02,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.02,new_tier1_member_clean_sku_days,-0.006062302333858405,-24.371949139797835,-32.744741588026955
cutoff_20260705,demand_adjusted_membership_seed_0.05,all_holdout,-0.00037809051418835615,-32.865680524730124,-32.865680524730124
cutoff_20260705,demand_adjusted_membership_seed_0.05,clean_bakery_days,-0.00010312243455656844,-1.2854915793723194,-1.2854915793705004
cutoff_20260705,demand_adjusted_membership_seed_0.05,clean_sku_days,-0.00045263474952406124,-27.87823115842184,-48.1303957865166
cutoff_20260705,demand_adjusted_membership_seed_0.05,adjusted_pairs_clean_sku_days,-0.00031432781756823847,-30.69357683641647,14.18445120209799
cutoff_20260705,demand_adjusted_membership_seed_0.05,stable_routing_clean_sku_days,-0.00045278709427398756,-27.87823115842184,-48.1303957865166
cutoff_20260705,demand_adjusted_membership_seed_0.05,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.05,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.05,new_tier1_member_clean_sku_days,-0.014214882166424747,-56.83750542203961,-77.08967005014983
cutoff_20260705,demand_adjusted_membership_seed_0.1,all_holdout,-0.000702661061365295,-61.07911490340484,-61.07911490340484
cutoff_20260705,demand_adjusted_membership_seed_0.1,clean_bakery_days,-0.00020462459642878184,-2.5507853530871216,-2.5507853530853026
cutoff_20260705,demand_adjusted_membership_seed_0.1,clean_sku_days,-0.0008391505745526384,-51.193255887250416,-89.7209868633945
cutoff_20260705,demand_adjusted_membership_seed_0.1,adjusted_pairs_clean_sku_days,-0.000500121833831968,-56.734530603451276,30.467131646928465
cutoff_20260705,demand_adjusted_membership_seed_0.1,stable_routing_clean_sku_days,-0.0008394330101911818,-51.193255887250416,-89.7209868633945
cutoff_20260705,demand_adjusted_membership_seed_0.1,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.1,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.1,new_tier1_member_clean_sku_days,-0.025228797103000522,-99.58416634951482,-138.11189732567072
cutoff_20260705,demand_adjusted_membership_seed_0.2,all_holdout,-0.0012579387568044664,-109.34686734886782,-109.34686734885327
cutoff_20260705,demand_adjusted_membership_seed_0.2,clean_bakery_days,-0.0004029763282997756,-5.02337516508851,-5.023375165086691
cutoff_20260705,demand_adjusted_membership_seed_0.2,clean_sku_days,-0.0014919772817186816,-89.91505519945349,-160.62502095631498
cutoff_20260705,demand_adjusted_membership_seed_0.2,adjusted_pairs_clean_sku_days,-0.0007078673870216656,-101.25296376396,64.07435286280815
cutoff_20260705,demand_adjusted_membership_seed_0.2,stable_routing_clean_sku_days,-0.0014924794413656572,-89.91505519946804,-160.62502095631498
cutoff_20260705,demand_adjusted_membership_seed_0.2,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.2,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.2,new_tier1_member_clean_sku_days,-0.040031588435566645,-153.22616419233964,-223.93612994920295
cutoff_20260705,demand_adjusted_membership_seed_0.25,all_holdout,-0.0014976515850163574,-130.18400801772077,-130.18400801772077
cutoff_20260705,demand_adjusted_membership_seed_0.25,clean_bakery_days,-0.0004999239108427478,-6.231892996685929,-6.23189299668411
cutoff_20260705,demand_adjusted_membership_seed_0.25,clean_sku_days,-0.0017705270655246075,-106.0972966546833,-191.21821294972324
cutoff_20260705,demand_adjusted_membership_seed_0.25,adjusted_pairs_clean_sku_days,-0.0007390686018713399,-120.2022874507038,81.38492634321301
cutoff_20260705,demand_adjusted_membership_seed_0.25,stable_routing_clean_sku_days,-0.001771122977578643,-106.0972966546833,-191.21821294972324
cutoff_20260705,demand_adjusted_membership_seed_0.25,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.25,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.25,new_tier1_member_clean_sku_days,-0.04511477025988864,-169.96658506831045,-255.08750136335493
cutoff_20260705,demand_adjusted_membership_seed_0.5,all_holdout,-0.002465265295229724,-214.2942458519101,-214.29424585192464
cutoff_20260705,demand_adjusted_membership_seed_0.5,clean_bakery_days,-0.0009641445082921862,-12.018719806561421,-12.018719806559602
cutoff_20260705,demand_adjusted_membership_seed_0.5,clean_sku_days,-0.0028887660116763136,-169.59506241470808,-315.50056566877174
cutoff_20260705,demand_adjusted_membership_seed_0.5,adjusted_pairs_clean_sku_days,-0.0006054980243010988,-196.5442618297384,164.7422945973958
cutoff_20260705,demand_adjusted_membership_seed_0.5,stable_routing_clean_sku_days,-0.002889738293049837,-169.59506241470808,-315.50056566877174
cutoff_20260705,demand_adjusted_membership_seed_0.5,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.5,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_0.5,new_tier1_member_clean_sku_days,-0.059879320454531815,-209.12726014439977,-355.032763398468
cutoff_20260705,demand_adjusted_membership_seed_1,all_holdout,-0.0034716583948843915,-301.7753987884207,-301.7753987884207
cutoff_20260705,demand_adjusted_membership_seed_1,clean_bakery_days,-0.0014325280267980522,-17.857440270679945,-17.857440270678126
cutoff_20260705,demand_adjusted_membership_seed_1,clean_sku_days,-0.004171433637506383,-232.79820416598523,-467.68920541153057
cutoff_20260705,demand_adjusted_membership_seed_1,adjusted_pairs_clean_sku_days,0.0008877600536533192,-281.0928284577276,327.7197619957042
cutoff_20260705,demand_adjusted_membership_seed_1,stable_routing_clean_sku_days,-0.004172837630495363,-232.79820416599978,-467.68920541153057
cutoff_20260705,demand_adjusted_membership_seed_1,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_1,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260705,demand_adjusted_membership_seed_1,new_tier1_member_clean_sku_days,-0.07275334604875905,-225.28158034716125,-460.17258159271205
