has_reconstructed_stockout,bakery_days,mean_surplus,median_surplus,p75_surplus,mean_donor_products
True,462,28.98701298701299,24.0,40.0,7.984848484848484
False,77,26.662337662337663,21.0,33.0,7.0519480519480515
