strategy,mae,wmape,bias,n_clipped,delta
clip_p99,3.5159499816498827,24.902133753924787,0.9805634397046867,3010,0.18594998164988263
clip_per_cat_p95,3.8889374168244313,27.54386160776968,1.6091051989970275,13831,0.5589374168244312
clip_p95,4.332525787695401,30.68562898238146,2.164629680729649,14975,1.0025257876954008
winsorize_p95,4.332525787695401,30.68562898238146,2.164629680729649,14975,1.0025257876954008
