date,bakery_id,bakery_name,product_id,product_name,category_name,dow,hourly_sold,daily_sold,qty_produced,stock_balance,is_inventory_stockout,is_reliable_inventory_stockout,balance_consistent,hourly_daily_sales_agree,last_sale_hour,normal_days,normal_daily_sold,normal_last_hour,bakery_sales_after_last,last_hour_gap,is_strong_temporal_stockout,stockout_group,forecast_qty,source_run_id,latest_generated_at,has_forecast,bias_qty,forecast_to_sales_ratio,bias_pct_of_sales,responsibility_group,confirmed_model_shortfall_qty,bakery_execution_gap_qty,forecast_headroom_over_observed_qty,production_to_forecast_ratio,bakery_actual_qty,bakery_forecast_qty,sku_forecast_total_qty,bakery_forecast_to_actual,bakery_volume_sufficient,observed_sku_share,forecast_sku_share,allocation_share_ratio,diagnosis,pipeline_regime,actual_bakery,expected_actual_bakery,sigma_actual_bakery,reference_days_actual_bakery,actual_sku,expected_sold,sigma_sold,reference_days_sold,bakery_sigma,bakery_gap,bakery_ratio,bakery_gap_z,sku_gap_estimate,substitution_qty,substitution_ratio,substitution_ratio_capped,case_type,case_confidence,robust_case_type,review_order
2026-07-11,107,Четаева 46А Казань,1071,Треугольник курица безд,Выпечка сытная,5,119.0,119.0,115.0,-4.0,True,True,True,True,18.0,3.0,131.0,20.0,105.582,2.0,True,clear_stockout,87.77570841393198,backfill_base_bakery_raw_uplift_sku_rollingbias_20260711_h1,2026-07-16 17:37:43.514000+03:00,True,-31.22429158606802,0.7376109950750587,-26.23890049249413,confirmed_model_underforecast,31.22429158606802,0.0,-31.22429158606802,1.310157469281637,1099.7489999999996,1076.288429347566,1076.288429347566,0.9786673407728186,True,0.1082065089397672,0.0815540760455268,0.753689189722622,allocation_failure_likely,raw_uplift_pre_cap_haircut,1099.749,1079.096,102.09590337455593,6,119.0,98.5,59.10668320926154,6,102.09590337455593,0.0,1.0191391683409077,0.0,31.22429158606802,0.15300000000002,0.004900031104894215,0.004900031104894215,allocation,1.0,allocation,
2026-06-22,22,Сибирский Тракт 25 Казань,1844,Киш курица,Выпечка сытная,0,45.0,45.0,45.0,0.0,True,True,True,True,17.0,5.0,17.0,19.0,122.63,2.0,True,clear_stockout,18.59080368771416,backfill_base_bakery_no_sku_uplift_20260622_h1,2026-07-01 16:17:03.559000+03:00,True,-26.409196312285843,0.4131289708380923,-58.68710291619077,confirmed_model_underforecast,26.40919631228584,0.0,-26.40919631228584,2.420551620892996,1691.545999999999,1610.599259338696,1610.5992593386954,0.952146296546885,True,0.0266028828066159,0.011542786686334,0.433892325513813,allocation_failure_likely,base_no_sku_uplift,1691.546,1594.5475000000001,294.1104099005451,6,45.0,18.0,4.320493798938573,6,294.1104099005451,0.0,1.0608313643839395,0.0,26.40919631228584,69.99849999999992,2.6505350322772174,1.0,allocation,1.0,allocation,
2026-06-01,22,Сибирский Тракт 25 Казань,10667,Элеш с курицей,Выпечка сытная,0,61.0,61.0,61.0,0.0,True,True,True,True,18.0,5.0,53.0,20.0,107.477,2.0,True,clear_stockout,35.29791703282055,backfill_base_bakery_no_sku_uplift_20260601_h1,2026-07-01 15:41:27.017000+03:00,True,-25.70208296717945,0.5786543775872222,-42.13456224127778,confirmed_model_underforecast,25.70208296717945,0.0,-25.70208296717945,1.728147299549751,1788.137000000001,1555.0911998393576,1555.0911998393572,0.869671171638055,False,0.0341137172375494,0.02269829385985,0.6653714604536186,mixed_or_top_level,base_no_sku_uplift,1788.137,1553.6734999999999,348.12368671158623,4,61.0,46.5,9.251126057585278,4,348.12368671158623,0.0,1.1509091195801435,0.0,25.70208296717945,219.96350000000007,8.558197414617515,1.0,allocation,1.0,allocation,
2026-07-17,257,Ярмарочная 12 Чебоксары,4944,Пирожок капуста и курица,Выпечка сытная,4,21.0,21.0,21.0,0.0,True,True,True,True,18.0,3.0,16.0,20.0,129.43200000000002,2.0,True,clear_stockout,0.0,,,False,-21.0,0.0,-100.0,confirmed_model_underforecast,21.0,0.0,-21.0,,892.6369999999997,816.6629993216083,851.5779284768071,0.914888134058535,False,0.0235258005213765,0.0,0.0,missing_or_near_zero_sku,current_cap_haircut_stockout,892.637,738.6759999999999,52.87572173471173,6,21.0,15.5,4.929503017546495,6,52.87572173471173,0.0,1.2084283231078308,0.0,21.0,148.461,7.069571428571429,1.0,allocation,1.0,allocation,
2026-07-08,257,Ярмарочная 12 Чебоксары,10485,ЖарПицца Пикантная,Фастфуд,2,18.0,18.0,18.0,0.0,True,True,True,True,18.0,3.0,28.0,20.0,100.09,2.0,True,clear_stockout,0.0,,,False,-18.0,0.0,-100.0,confirmed_model_underforecast,18.0,0.0,-18.0,,753.3189999999998,685.8898786233267,682.555029606631,0.9104906137019336,False,0.0238942599350341,0.0,0.0,missing_or_near_zero_sku,raw_uplift_pre_cap_haircut,753.319,719.4110000000001,59.25056070198827,6,18.0,22.0,8.310635755865292,6,59.25056070198827,0.0,1.0471330018584646,0.0,18.0,37.9079999999999,2.1059999999999945,1.0,allocation,1.0,allocation,
2026-06-20,21,Парковая 7 Казань,1722,Губадия мини,Выпечка сладкая,5,39.0,39.0,21.0,-18.0,True,True,True,True,18.0,6.0,16.0,20.0,54.16,2.0,True,clear_stockout,21.89416902606129,backfill_base_bakery_no_sku_uplift_20260620_h1,2026-07-01 16:12:33.991000+03:00,True,-17.10583097393871,0.561388949386187,-43.86110506138131,confirmed_model_underforecast,17.10583097393871,0.0,-17.10583097393871,0.959159490136532,1710.507,1383.0256333289226,1383.025633328923,0.8085471929252103,False,0.0228002574675227,0.0158306314058419,0.6943180983105764,mixed_or_top_level,base_no_sku_uplift,1710.507,1562.643,186.68412143904118,6,39.0,19.0,8.40039681602403,6,186.68412143904118,0.0,1.0946242999840654,0.0,17.10583097393871,127.86400000000003,7.474878022284039,1.0,allocation,1.0,allocation,
2026-06-20,16,Кулагина 4 Казань,10667,Элеш с курицей,Выпечка сытная,5,70.0,70.0,70.0,0.0,True,True,True,True,18.0,4.0,52.0,20.0,126.573,2.0,True,clear_stockout,55.153258691996825,backfill_base_bakery_no_sku_uplift_20260620_h1,2026-07-01 16:12:33.991000+03:00,True,-14.846741308003176,0.7879036955999547,-21.20963044000453,confirmed_model_underforecast,14.846741308003176,0.0,-14.846741308003176,1.269190645486874,1578.9630000000004,1690.419729517217,1690.419729517217,1.0705885632007948,True,0.0443328944376783,0.0326269610611729,0.7359537759718986,allocation_failure_likely,base_no_sku_uplift,1578.963,1559.1860000000001,244.32271256734742,6,70.0,48.0,7.5740786018278605,6,244.32271256734742,0.0,1.0126841826440205,0.0,14.846741308003176,0.0,0.0,0.0,allocation,1.0,allocation,
2026-07-03,22,Сибирский Тракт 25 Казань,1845,Киш грибы курица,Выпечка сытная,4,33.0,33.0,33.0,0.0,True,True,True,True,18.0,3.0,18.0,20.0,84.076,2.0,True,clear_stockout,18.40406293120332,backfill_base_bakery_raw_uplift_sku_rollingbias_20260703_h1,2026-07-16 16:48:37.987000+03:00,True,-14.595937068796683,0.5576988767031308,-44.23011232968692,confirmed_model_underforecast,14.59593706879668,0.0,-14.59593706879668,1.793082327709817,1765.4650000000013,1616.0549692033128,1614.2508153012925,0.9153707205769084,False,0.0186919593421563,0.0114009934247846,0.6099410562632569,mixed_or_top_level,raw_uplift_pre_cap_haircut,1765.465,1646.3265000000001,289.5566527934848,6,33.0,22.0,5.192943930629972,6,289.5566527934848,0.0,1.0723662651363504,0.0,14.59593706879668,108.1384999999998,7.4088083204455035,1.0,allocation,1.0,allocation,
2026-06-22,28,Гудованцева 27 Казань,4947,Капуста и курица,Пироги сытные,0,14.0,14.0,14.0,0.0,True,True,True,True,16.0,3.0,6.0,18.0,261.5,2.0,True,clear_stockout,0.0,,,False,-14.0,0.0,-100.0,confirmed_model_underforecast,14.0,0.0,-14.0,,1595.5,1649.8441815662727,1649.8441815662727,1.0340609097876985,True,0.0087746787840802,0.0,0.0,missing_or_near_zero_sku,base_no_sku_uplift,1595.5,1536.5,122.33356039942596,6,14.0,9.5,5.167204273105526,6,122.33356039942596,0.0,1.0383989586723072,0.0,14.0,54.5,3.892857142857143,1.0,allocation,1.0,allocation,
2026-06-16,21,Парковая 7 Казань,11474,Маковка,Выпечка сладкая,1,40.0,40.0,40.0,0.0,True,True,True,True,15.0,3.0,38.0,19.0,256.25100000000003,4.0,True,clear_stockout,27.87986849592075,backfill_base_bakery_no_sku_uplift_20260616_h1,2026-07-01 16:03:28.871000+03:00,True,-12.12013150407925,0.6969967123980187,-30.300328760198123,confirmed_model_underforecast,12.12013150407925,0.0,-12.12013150407925,1.4347269968598528,1510.1150000000002,1447.7815272109349,1447.7815272109349,0.9587226980799044,True,0.0264880489234263,0.0192569582992467,0.7270055395516755,allocation_failure_likely,base_no_sku_uplift,1510.115,1495.417,87.12499855361074,6,40.0,40.5,4.535048695071164,6,87.12499855361074,0.0,1.0098286966110457,0.0,12.12013150407925,15.198000000000093,1.2539467905018136,1.0,allocation,1.0,allocation,
